ligne,type_ligne,nb_jours,MAE_lstm,RMSE_lstm,MAPE_lstm,R2_lstm,MAE_bus,RMSE_bus,ecart_bus_moyen
AE,REG,896,28.07602930395376,35.51660037319109,34.19132789280162,-0.34153839586209966,0.0,0.0,0.0
9,URB,896,20.052372744856847,36.08961821693539,1391.1485096750437,-0.06886398003627447,0.08571428571428572,0.29277002188455997,0.08571428571428572
15,URB,896,52.850859827512785,69.38561712619473,1388.385583744046,0.4690332854340358,0.0,0.0,0.0
99,URB,896,55.64389544055753,69.45436673813973,5564.389544055753,0.0,0.0,0.0,0.0
14,URB,896,57.36450905274777,80.64932317491426,446.16947330063795,0.13711707692135566,0.0,0.0,0.0
10,URB,896,62.65112043392091,86.91706228044453,3108.3875088155955,0.08213225363051702,0.0,0.0,0.0
37,REG,896,48.39869670161889,87.17565675048799,1195.3255573190604,0.66172134318504,0.05714285714285714,0.23904572186687872,0.05714285714285714
13,URB,896,64.33114068054017,98.21211204352073,542.1230865751428,0.41649675758456095,0.023809523809523808,0.12909944487358055,0.023809523809523808
39,REG,896,70.59364000768178,108.44155542725258,2514.6820163849643,0.7070028599080015,0.0,0.0,0.0
24,URB,896,84.72833772865789,118.95221802918554,58.39389739394102,0.13136399475799665,0.10952380952380954,0.23401261667248793,0.023809523809523808
73,REG,758,94.74031685678554,130.15024380946537,2822.342080920028,0.6990104713435616,0.6011904761904762,0.8146720052821725,-0.5416666666666666
1,URB,896,107.85988372791381,148.10088823979194,1970.079311920235,0.22980348848979837,0.3952380952380952,0.7852812659593165,-0.36666666666666664
27,URB,896,121.6643139812918,165.10115088885996,107.43289216277887,0.6057405304074073,0.49523809523809526,0.6473388749701496,-0.45714285714285713
43,REG,896,139.6717281772977,214.41497452287774,1301.261894741958,0.21481842129700612,0.009523809523809525,0.09759000729485333,0.009523809523809525
33,REG,896,158.93904225599198,264.465252940978,1827.162742328218,0.11461656445855928,0.09047619047619047,0.28867513459481287,-0.04285714285714286
95,URB,896,298.7642083009084,447.79697418597215,1367.6466426066345,0.5076206017490441,0.20476190476190484,0.40532174168888885,-0.10952380952380952
32,REG,896,409.00863575935364,488.5897828684949,1210.3326931816384,0.24724674859063478,0.6619047619047619,0.7883074092183654,-0.6238095238095238
40,REG,896,327.1996447665351,542.1725910118744,3533.5061030048023,0.43897765849813275,0.4142857142857143,0.5794085654478071,-0.28095238095238095
38,REG,896,332.6219306236222,545.4032726901112,3317.936422726799,0.36560228727392907,0.43333333333333335,0.5,-0.35714285714285715
31,REG,896,357.81703832263037,561.8136033751322,3420.132927730404,0.14388146202753493,0.3333333333333333,0.4525062483125562,-0.09523809523809523
26,URB,896,365.5298388174602,569.4745976788372,25.17737672367889,0.3209892955183503,0.41904761904761906,0.7559289460184544,0.10476190476190476
2,URB,896,452.7730915912557,635.5410967704241,43.412336717334895,-0.20786982369509488,0.5047619047619047,0.733549751615552,-0.3238095238095238
23,URB,896,383.9037009997027,656.1100156534767,66.41833923128337,0.45733958458966584,0.5761904761904761,0.7913219801006895,-0.3761904761904762
11,URB,896,526.3066145079476,720.2330676980595,19.60227358045749,0.2796790290241302,0.6,0.8618916073713346,0.009523809523809525
20,URB,896,593.1503017187118,749.1773914179541,3342.5944973998794,0.039854252181887206,1.1857142857142857,1.5376233980678475,-1.061904761904762
3,URB,896,488.5243320357232,775.4747917333702,3988.0891641140643,0.5382638551925196,0.5952380952380952,0.7448234050846582,0.1
41,REG,896,514.1066800384294,791.685757217186,5116.996806474677,0.5839717606157236,0.7238095238095238,0.9586697132212005,-0.14285714285714285
98,URB,896,520.7787844884963,860.9458052657483,5407.557764193676,0.3321547638660757,0.319047619047619,0.6491753010001008,0.12857142857142856
42,REG,896,534.7701218003318,873.9809829346743,5507.428791636111,0.20952261200052247,0.11904761904761904,0.4551294949163998,0.07142857142857142
6,URB,896,593.2008908501693,916.5610252068983,4162.556049350785,0.6395350102307797,0.680952380952381,0.9219544457292888,-0.19523809523809524
8,URB,896,484.5120929014115,920.7493433989196,37.99610518520017,0.3523906564705167,0.3238095238095238,0.839500985563391,0.009523809523809525
36,REG,896,659.6089965877079,926.8156678624033,5366.8920138398,0.3653388784543957,0.40000000000000013,0.5563486402641868,-0.09523809523809523
16,URB,896,538.1481248908102,958.7486841633112,38.52865266035364,0.5692852135367602,0.6428571428571429,1.0270160197201914,-0.19523809523809524
97,URB,896,685.3329275676185,981.5176715046704,14.549482443860217,0.35813175861258706,0.6857142857142857,1.01418510567422,0.0
5,URB,896,680.5874274253845,1049.8342309532711,37.39336690142675,0.5619037397913998,0.7476190476190476,1.0476731587756973,-0.09047619047619047
35,REG,896,669.7700512199175,1055.1109922058497,6159.883432907439,0.6352834563371944,0.7857142857142857,1.0270160197201914,-0.36666666666666664
21,URB,896,915.645445618175,1137.2410451333487,28.54323572212075,0.14987000265244066,1.9952380952380953,2.318147864958041,-1.8523809523809525
12,URB,896,798.4485435576667,1328.7178094071687,68.74442829947327,0.728638431453164,0.8857142857142857,1.5071259308460496,0.2761904761904762
